"","type","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","quality_6","label"
"5174","red",7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6,"good",1
"5175","red",6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6,"good",1
"5176","red",11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6,"good",1
"5177","red",10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,8,"good",1
"5180","red",7.7,0.27,0.68,3.5,0.358,5,10,0.9972,3.25,1.08,9.9,7,"good",1
"5181","red",7.6,0.52,0.12,3,0.067,12,53,0.9971,3.36,0.57,9.1,5,"bad",1
"5182","red",8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7,"good",1
"5185","red",12,0.45,0.55,2,0.073,25,49,0.9997,3.1,0.76,10.3,6,"good",1
"5187","red",8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7,"good",1
"5188","red",11.6,0.42,0.53,3.3,0.105,33,98,1.001,3.2,0.95,9.2,5,"bad",1
"5189","red",8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7,"good",1
"5190","red",11,0.2,0.48,2,0.343,6,18,0.9979,3.3,0.71,10.5,5,"bad",1
"5191","red",10.4,0.55,0.23,2.7,0.091,18,48,0.9994,3.22,0.64,10.3,6,"good",1
"5192","red",6.9,0.36,0.25,2.4,0.098,5,16,0.9964,3.41,0.6,10.1,6,"good",1
"5193","red",13.3,0.34,0.52,3.2,0.094,17,53,1.0014,3.05,0.81,9.5,6,"good",1
"5194","red",10.8,0.5,0.46,2.5,0.073,5,27,1.0001,3.05,0.64,9.5,5,"bad",1
"5195","red",10.6,0.83,0.37,2.6,0.086,26,70,0.9981,3.16,0.52,9.9,5,"bad",1
"5196","red",7.1,0.63,0.06,2,0.083,8,29,0.99855,3.67,0.73,9.6,5,"bad",1
"5198","red",6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6,5,"bad",1
"5199","red",7.5,0.53,0.06,2.6,0.086,20,44,0.9965,3.38,0.59,10.7,6,"good",1
"5200","red",11.1,0.18,0.48,1.5,0.068,7,15,0.9973,3.22,0.64,10.1,6,"good",1
"5201","red",8.3,0.705,0.12,2.6,0.092,12,28,0.9994,3.51,0.72,10,5,"bad",1
"5203","red",8.4,0.65,0.6,2.1,0.112,12,90,0.9973,3.2,0.52,9.2,5,"bad",1
"5204","red",10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,6,"good",1
"5205","red",7.6,0.62,0.32,2.2,0.082,7,54,0.9966,3.36,0.52,9.4,5,"bad",1
"5206","red",10.3,0.41,0.42,2.4,0.213,6,14,0.9994,3.19,0.62,9.5,6,"good",1
"5207","red",10.3,0.43,0.44,2.4,0.214,5,12,0.9994,3.19,0.63,9.5,6,"good",1
"5208","red",7.4,0.29,0.38,1.7,0.062,9,30,0.9968,3.41,0.53,9.5,6,"good",1
"5209","red",10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,6,"good",1
"5210","red",7.9,0.53,0.24,2,0.072,15,105,0.996,3.27,0.54,9.4,6,"good",1
"5212","red",8.6,0.47,0.3,3,0.076,30,135,0.9976,3.3,0.53,9.4,5,"bad",1
"5214","red",7.1,0.35,0.29,2.5,0.096,20,53,0.9962,3.42,0.65,11,6,"good",1
"5215","red",9.6,0.56,0.23,3.4,0.102,37,92,0.9996,3.3,0.65,10.1,5,"bad",1
"5216","red",9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,6,"good",1
"5217","red",9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7,"good",1
"5219","red",9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7,"good",1
"5221","red",7.8,0.62,0.05,2.3,0.079,6,18,0.99735,3.29,0.63,9.3,5,"bad",1
"5222","red",10.3,0.59,0.42,2.8,0.09,35,73,0.999,3.28,0.7,9.5,6,"good",1
"5224","red",10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,6,"good",1
"5226","red",10.3,0.44,0.5,4.5,0.107,5,13,0.998,3.28,0.83,11.5,5,"bad",1
"5227","red",13.4,0.27,0.62,2.6,0.082,6,21,1.0002,3.16,0.67,9.7,6,"good",1
"5228","red",10.7,0.46,0.39,2,0.061,7,15,0.9981,3.18,0.62,9.5,5,"bad",1
"5229","red",10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,6,"good",1
"5231","red",8,0.58,0.28,3.2,0.066,21,114,0.9973,3.22,0.54,9.4,6,"good",1
"5232","red",8.4,0.56,0.08,2.1,0.105,16,44,0.9958,3.13,0.52,11,5,"bad",1
"5233","red",7.9,0.65,0.01,2.5,0.078,17,38,0.9963,3.34,0.74,11.7,7,"good",1
"5234","red",11.9,0.695,0.53,3.4,0.128,7,21,0.9992,3.17,0.84,12.2,7,"good",1
"5235","red",8.9,0.43,0.45,1.9,0.052,6,16,0.9948,3.35,0.7,12.5,6,"good",1
"5236","red",7.8,0.43,0.32,2.8,0.08,29,58,0.9974,3.31,0.64,10.3,5,"bad",1
"5237","red",12.4,0.49,0.58,3,0.103,28,99,1.0008,3.16,1,11.5,6,"good",1
"5238","red",12.5,0.28,0.54,2.3,0.082,12,29,0.9997,3.11,1.36,9.8,7,"good",1
"5239","red",12.2,0.34,0.5,2.4,0.066,10,21,1,3.12,1.18,9.2,6,"good",1
"5240","red",10.6,0.42,0.48,2.7,0.065,5,18,0.9972,3.21,0.87,11.3,6,"good",1
"5241","red",10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6,"good",1
"5242","red",10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6,"good",1
"5244","red",7,0.685,0,1.9,0.067,40,63,0.9979,3.6,0.81,9.9,5,"bad",1
"5245","red",6.6,0.815,0.02,2.7,0.072,17,34,0.9955,3.58,0.89,12.3,7,"good",1
"5246","red",13.8,0.49,0.67,3,0.093,6,15,0.9986,3.02,0.93,12,6,"good",1
"5247","red",9.6,0.56,0.31,2.8,0.089,15,46,0.9979,3.11,0.92,10,6,"good",1
"5248","red",9.1,0.785,0,2.6,0.093,11,28,0.9994,3.36,0.86,9.4,6,"good",1
"5249","red",10.7,0.67,0.22,2.7,0.107,17,34,1.0004,3.28,0.98,9.9,6,"good",1
"5250","red",9.1,0.795,0,2.6,0.096,11,26,0.9994,3.35,0.83,9.4,6,"good",1
"5252","red",13.5,0.53,0.79,4.8,0.12,23,77,1.0018,3.18,0.77,13,5,"bad",1
"5254","red",6.7,0.75,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8,6,"good",1
"5255","red",11.5,0.41,0.52,3,0.08,29,55,1.0001,3.26,0.88,11,5,"bad",1
"5256","red",10.5,0.42,0.66,2.95,0.116,12,29,0.997,3.24,0.75,11.7,7,"good",1
"5257","red",11.9,0.43,0.66,3.1,0.109,10,23,1,3.15,0.85,10.4,7,"good",1
"5258","red",12.6,0.38,0.66,2.6,0.088,10,41,1.001,3.17,0.68,9.8,6,"good",1
"5259","red",8.2,0.7,0.23,2,0.099,14,81,0.9973,3.19,0.7,9.4,5,"bad",1
"5261","red",11.9,0.58,0.66,2.5,0.072,6,37,0.9992,3.05,0.56,10,5,"bad",1
"5264","red",10,0.42,0.5,3.4,0.107,7,21,0.9979,3.26,0.93,11.8,6,"good",1
"5265","red",12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,7,"good",1
"5266","red",10.4,0.575,0.61,2.6,0.076,11,24,1,3.16,0.69,9,5,"bad",1
"5267","red",10.3,0.34,0.52,2.8,0.159,15,75,0.9998,3.18,0.64,9.4,5,"bad",1
"5268","red",9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7,"good",1
"5269","red",6.9,0.765,0.02,2.3,0.063,35,63,0.9975,3.57,0.78,9.9,5,"bad",1
"5271","red",9.1,0.28,0.48,1.8,0.067,26,46,0.9967,3.32,1.04,10.6,6,"good",1
"5272","red",7.4,0.55,0.22,2.2,0.106,12,72,0.9959,3.05,0.63,9.2,5,"bad",1
"5273","red",14,0.41,0.63,3.8,0.089,6,47,1.0014,3.01,0.81,10.8,6,"good",1
"5275","red",11.5,0.45,0.5,3,0.078,19,47,1.0003,3.26,1.11,11,6,"good",1
"5278","red",8.3,0.42,0.38,2.5,0.094,24,60,0.9979,3.31,0.7,10.8,6,"good",1
"5279","red",8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6,"good",1
"5281","red",8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6,"good",1
"5283","red",7.7,0.51,0.28,2.1,0.087,23,54,0.998,3.42,0.74,9.2,5,"bad",1
"5284","red",7.4,0.63,0.07,2.4,0.09,11,37,0.9979,3.43,0.76,9.7,6,"good",1
"5285","red",7.8,0.54,0.26,2,0.088,23,48,0.9981,3.41,0.74,9.2,6,"good",1
"5286","red",8.3,0.66,0.15,1.9,0.079,17,42,0.9972,3.31,0.54,9.6,6,"good",1
"5287","red",7.8,0.46,0.26,1.9,0.088,23,53,0.9981,3.43,0.74,9.2,6,"good",1
"5288","red",9.6,0.38,0.31,2.5,0.096,16,49,0.9982,3.19,0.7,10,7,"good",1
"5289","red",5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9,8,"good",1
"5290","red",13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,6,"good",1
"5291","red",9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,5,"bad",1
"5292","red",8.4,0.665,0.61,2,0.112,13,95,0.997,3.16,0.54,9.1,5,"bad",1
"5293","red",12.7,0.6,0.65,2.3,0.063,6,25,0.9997,3.03,0.57,9.9,5,"bad",1
"5294","red",12,0.37,0.76,4.2,0.066,7,38,1.0004,3.22,0.6,13,7,"good",1
"5295","red",6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,5,"bad",1
"5296","red",11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,6,"good",1
"5297","red",11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,6,"good",1
"5298","red",8.7,0.765,0.22,2.3,0.064,9,42,0.9963,3.1,0.55,9.4,5,"bad",1
"5299","red",6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,5,"bad",1
"5302","red",11.4,0.6,0.49,2.7,0.085,10,41,0.9994,3.15,0.63,10.5,6,"good",1
"5303","red",7.7,0.69,0.05,2.7,0.075,15,27,0.9974,3.26,0.61,9.1,5,"bad",1
"5304","red",8.7,0.31,0.46,1.4,0.059,11,25,0.9966,3.36,0.76,10.1,6,"good",1
"5305","red",9.8,0.44,0.47,2.5,0.063,9,28,0.9981,3.24,0.65,10.8,6,"good",1
"5306","red",12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,7,"good",1
"5307","red",10.4,0.34,0.58,3.7,0.174,6,16,0.997,3.19,0.7,11.3,6,"good",1
"5309","red",9,0.43,0.34,2.5,0.08,26,86,0.9987,3.38,0.62,9.5,6,"good",1
"5310","red",9.1,0.45,0.35,2.4,0.08,23,78,0.9987,3.38,0.62,9.5,5,"bad",1
"5311","red",7.1,0.735,0.16,1.9,0.1,15,77,0.9966,3.27,0.64,9.3,5,"bad",1
"5312","red",9.9,0.4,0.53,6.7,0.097,6,19,0.9986,3.27,0.82,11.7,7,"good",1
"5313","red",8.8,0.52,0.34,2.7,0.087,24,122,0.9982,3.26,0.61,9.5,5,"bad",1
"5314","red",8.6,0.725,0.24,6.6,0.117,31,134,1.0014,3.32,1.07,9.3,5,"bad",1
"5315","red",10.6,0.48,0.64,2.2,0.111,6,20,0.997,3.26,0.66,11.7,6,"good",1
"5316","red",7,0.58,0.12,1.9,0.091,34,124,0.9956,3.44,0.48,10.5,5,"bad",1
"5317","red",11.9,0.38,0.51,2,0.121,7,20,0.9996,3.24,0.76,10.4,6,"good",1
"5318","red",6.8,0.77,0,1.8,0.066,34,52,0.9976,3.62,0.68,9.9,5,"bad",1
"5319","red",9.5,0.56,0.33,2.4,0.089,35,67,0.9972,3.28,0.73,11.8,7,"good",1
"5320","red",6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,7,"good",1
"5323","red",7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,5,"bad",1
"5324","red",6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,7,"good",1
"5325","red",6.4,0.67,0.08,2.1,0.045,19,48,0.9949,3.49,0.49,11.4,6,"good",1
"5326","red",9.5,0.78,0.22,1.9,0.077,6,32,0.9988,3.26,0.56,10.6,6,"good",1
"5327","red",9.1,0.52,0.33,1.3,0.07,9,30,0.9978,3.24,0.6,9.3,5,"bad",1
"5329","red",10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,7,"good",1
"5330","red",7.8,0.55,0.35,2.2,0.074,21,66,0.9974,3.25,0.56,9.2,5,"bad",1
"5331","red",11.9,0.37,0.69,2.3,0.078,12,24,0.9958,3,0.65,12.8,6,"good",1
"5332","red",12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,5,"bad",1
"5334","red",12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,5,"bad",1
"5335","red",8,0.67,0.3,2,0.06,38,62,0.9958,3.26,0.56,10.2,6,"good",1
"5336","red",11.1,0.45,0.73,3.2,0.066,6,22,0.9986,3.17,0.66,11.2,6,"good",1
"5337","red",10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,6,"good",1
"5338","red",7,0.62,0.18,1.5,0.062,7,50,0.9951,3.08,0.6,9.3,5,"bad",1
"5339","red",12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,8,"good",1
"5340","red",11.9,0.4,0.65,2.15,0.068,7,27,0.9988,3.06,0.68,11.3,6,"good",1
"5341","red",15.6,0.685,0.76,3.7,0.1,6,43,1.0032,2.95,0.68,11.2,7,"good",1
"5343","red",5.3,0.57,0.01,1.7,0.054,5,27,0.9934,3.57,0.84,12.5,7,"good",1
"5344","red",9.5,0.735,0.1,2.1,0.079,6,31,0.9986,3.23,0.56,10.1,6,"good",1
"5345","red",12.5,0.38,0.6,2.6,0.081,31,72,0.9996,3.1,0.73,10.5,5,"bad",1
"5346","red",9.3,0.48,0.29,2.1,0.127,6,16,0.9968,3.22,0.72,11.2,5,"bad",1
"5347","red",8.6,0.53,0.22,2,0.1,7,27,0.9967,3.2,0.56,10.2,6,"good",1
"5350","red",8.4,0.37,0.53,1.8,0.413,9,26,0.9979,3.06,1.06,9.1,6,"good",1
"5351","red",6.8,0.56,0.03,1.7,0.084,18,35,0.9968,3.44,0.63,10,6,"good",1
"5352","red",10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,7,"good",1
"5353","red",7,0.23,0.4,1.6,0.063,21,67,0.9952,3.5,0.63,11.1,5,"bad",1
"5355","red",8.9,0.59,0.39,2.3,0.095,5,22,0.9986,3.37,0.58,10.3,5,"bad",1
"5357","red",10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,7,"good",1
"5358","red",11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9,3,"bad",1
"5359","red",9.2,0.43,0.52,2.3,0.083,14,23,0.9976,3.35,0.61,11.3,6,"good",1
"5360","red",8.3,0.615,0.22,2.6,0.087,6,19,0.9982,3.26,0.61,9.3,5,"bad",1
"5361","red",11,0.26,0.68,2.55,0.085,10,25,0.997,3.18,0.61,11.8,5,"bad",1
"5362","red",8.1,0.66,0.7,2.2,0.098,25,129,0.9972,3.08,0.53,9,5,"bad",1
"5363","red",11.5,0.315,0.54,2.1,0.084,5,15,0.9987,2.98,0.7,9.2,6,"good",1
"5365","red",10.3,0.5,0.42,2,0.069,21,51,0.9982,3.16,0.72,11.5,6,"good",1
"5367","red",11.4,0.36,0.69,2.1,0.09,6,21,1,3.17,0.62,9.2,6,"good",1
"5368","red",8.7,0.82,0.02,1.2,0.07,36,48,0.9952,3.2,0.58,9.8,5,"bad",1
"5369","red",13,0.32,0.65,2.6,0.093,15,47,0.9996,3.05,0.61,10.6,5,"bad",1
"5370","red",9.6,0.54,0.42,2.4,0.081,25,52,0.997,3.2,0.71,11.4,6,"good",1
"5371","red",12.5,0.37,0.55,2.6,0.083,25,68,0.9995,3.15,0.82,10.4,6,"good",1
"5372","red",9.9,0.35,0.55,2.1,0.062,5,14,0.9971,3.26,0.79,10.6,5,"bad",1
"5373","red",10.5,0.28,0.51,1.7,0.08,10,24,0.9982,3.2,0.89,9.4,6,"good",1
"5374","red",9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,5,"bad",1
"5375","red",9.3,0.27,0.41,2,0.091,6,16,0.998,3.28,0.7,9.7,5,"bad",1
"5376","red",10.4,0.24,0.49,1.8,0.075,6,20,0.9977,3.18,1.06,11,6,"good",1
"5377","red",9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,5,"bad",1
"5378","red",9.4,0.685,0.11,2.7,0.077,6,31,0.9984,3.19,0.7,10.1,6,"good",1
"5379","red",10.6,0.28,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2,5,"bad",1
"5380","red",9.4,0.3,0.56,2.8,0.08,6,17,0.9964,3.15,0.92,11.7,8,"good",1
"5381","red",10.6,0.36,0.59,2.2,0.152,6,18,0.9986,3.04,1.05,9.4,5,"bad",1
"5382","red",10.6,0.36,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4,5,"bad",1
"5384","red",10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,5,"bad",1
"5385","red",10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,5,"bad",1
"5386","red",10.2,0.645,0.36,1.8,0.053,5,14,0.9982,3.17,0.42,10,6,"good",1
"5387","red",11.6,0.32,0.55,2.8,0.081,35,67,1.0002,3.32,0.92,10.8,7,"good",1
"5392","red",8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,6,"good",1
"5393","red",6.5,0.39,0.23,8.3,0.051,28,91,0.9952,3.44,0.55,12.1,6,"good",1
"5394","red",10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,8,"good",1
"5396","red",7.2,0.34,0.32,2.5,0.09,43,113,0.9966,3.32,0.79,11.1,5,"bad",1
"5398","red",8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,6,"good",1
"5399","red",7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,6,"good",1
"5400","red",10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,7,"good",1
"5402","red",10.5,0.26,0.47,1.9,0.078,6,24,0.9976,3.18,1.04,10.9,7,"good",1
"5403","red",10.5,0.24,0.42,1.8,0.077,6,22,0.9976,3.21,1.05,10.8,7,"good",1
"5404","red",10.2,0.49,0.63,2.9,0.072,10,26,0.9968,3.16,0.78,12.5,7,"good",1
"5405","red",10.4,0.24,0.46,1.8,0.075,6,21,0.9976,3.25,1.02,10.8,7,"good",1
"5406","red",11.2,0.67,0.55,2.3,0.084,6,13,1,3.17,0.71,9.5,6,"good",1
"5407","red",10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,6,"good",1
"5408","red",13.3,0.29,0.75,2.8,0.084,23,43,0.9986,3.04,0.68,11.4,7,"good",1
"5409","red",12.4,0.42,0.49,4.6,0.073,19,43,0.9978,3.02,0.61,9.5,5,"bad",1
"5410","red",10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,6,"good",1
"5411","red",10.7,0.4,0.48,2.1,0.125,15,49,0.998,3.03,0.81,9.7,6,"good",1
"5412","red",10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,7,"good",1
"5413","red",10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,7,"good",1
"5414","red",8.5,0.655,0.49,6.1,0.122,34,151,1.001,3.31,1.14,9.3,5,"bad",1
"5415","red",12.5,0.6,0.49,4.3,0.1,5,14,1.001,3.25,0.74,11.9,6,"good",1
"5417","red",10.9,0.21,0.49,2.8,0.088,11,32,0.9972,3.22,0.68,11.7,6,"good",1
"5418","red",7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,5,"bad",1
"5420","red",7.6,0.41,0.49,2,0.088,16,43,0.998,3.48,0.64,9.1,5,"bad",1
"5421","red",8.2,0.39,0.49,2.3,0.099,47,133,0.9979,3.38,0.99,9.8,5,"bad",1
"5422","red",9.3,0.4,0.49,2.5,0.085,38,142,0.9978,3.22,0.55,9.4,5,"bad",1
"5424","red",10.4,0.64,0.24,2.8,0.105,29,53,0.9998,3.24,0.67,9.9,5,"bad",1
"5425","red",7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,5,"bad",1
"5426","red",7,0.38,0.49,2.5,0.097,33,85,0.9962,3.39,0.77,11.4,6,"good",1
"5428","red",9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,5,"bad",1
"5429","red",9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,6,"good",1
"5430","red",11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,5,"bad",1
"5431","red",11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,5,"bad",1
"5432","red",10.3,0.27,0.24,2.1,0.072,15,33,0.9956,3.22,0.66,12.8,6,"good",1
"5433","red",10,0.48,0.24,2.7,0.102,13,32,1,3.28,0.56,10,6,"good",1
"5435","red",9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,5,"bad",1
"5436","red",8.1,0.825,0.24,2.1,0.084,5,13,0.9972,3.37,0.77,10.7,6,"good",1
"5437","red",12.9,0.35,0.49,5.8,0.066,5,35,1.0014,3.2,0.66,12,7,"good",1
"5438","red",11.2,0.5,0.74,5.15,0.1,5,17,0.9996,3.22,0.62,11.2,5,"bad",1
