"","type","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","quality_6","label"
"5962","red",10.2,0.29,0.65,2.4,0.075,6,17,0.99565,3.22,0.63,11.8,6,"good",1
"5963","red",8.2,0.74,0.09,2,0.067,5,10,0.99418,3.28,0.57,11.8,6,"good",1
"5964","red",7.7,0.61,0.18,2.4,0.083,6,20,0.9963,3.29,0.6,10.2,6,"good",1
"5966","red",11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,7,"good",1
"5967","red",11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,7,"good",1
"5969","red",9.3,0.33,0.45,1.5,0.057,19,37,0.99498,3.18,0.89,11.1,7,"good",1
"5970","red",7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,5,"bad",1
"5971","red",7.2,0.35,0.26,1.8,0.083,33,75,0.9968,3.4,0.58,9.5,6,"good",1
"5972","red",8,0.62,0.33,2.7,0.088,16,37,0.9972,3.31,0.58,10.7,6,"good",1
"5973","red",7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,5,"bad",1
"5975","red",9.9,0.32,0.56,2,0.073,3,8,0.99534,3.15,0.73,11.4,6,"good",1
"5976","red",8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,5,"bad",1
"5977","red",8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,5,"bad",1
"5978","red",7.9,0.3,0.68,8.3,0.05,37.5,278,0.99316,3.01,0.51,12.3,7,"good",1
"5979","red",10.3,0.27,0.56,1.4,0.047,3,8,0.99471,3.16,0.51,11.8,6,"good",1
"5981","red",7.2,0.38,0.3,1.8,0.073,31,70,0.99685,3.42,0.59,9.5,6,"good",1
"5982","red",8.7,0.42,0.45,2.4,0.072,32,59,0.99617,3.33,0.77,12,6,"good",1
"5985","red",8.5,0.34,0.4,4.7,0.055,3,9,0.99738,3.38,0.66,11.6,7,"good",1
"5986","red",7.9,0.19,0.42,1.6,0.057,18,30,0.994,3.29,0.69,11.2,6,"good",1
"5987","red",11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,7,"good",1
"5988","red",11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,7,"good",1
"5990","red",7.9,0.34,0.42,2,0.086,8,19,0.99546,3.35,0.6,11.4,6,"good",1
"5991","red",7,0.54,0.09,2,0.081,10,16,0.99479,3.43,0.59,11.5,6,"good",1
"5992","red",9.2,0.31,0.36,2.2,0.079,11,31,0.99615,3.33,0.86,12,7,"good",1
"5994","red",9.4,0.4,0.47,2.5,0.087,6,20,0.99772,3.15,0.5,10.5,5,"bad",1
"5995","red",6.6,0.725,0.09,5.5,0.117,9,17,0.99655,3.35,0.49,10.8,6,"good",1
"5996","red",8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,5,"bad",1
"5997","red",8,0.31,0.45,2.1,0.216,5,16,0.99358,3.15,0.81,12.5,7,"good",1
"5998","red",8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,5,"bad",1
"5999","red",8.4,0.34,0.42,2.1,0.072,23,36,0.99392,3.11,0.78,12.4,6,"good",1
"6001","red",6.1,0.48,0.09,1.7,0.078,18,30,0.99402,3.45,0.54,11.2,6,"good",1
"6002","red",7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,6,"good",1
"6003","red",8,0.48,0.34,2.2,0.073,16,25,0.9936,3.28,0.66,12.4,6,"good",1
"6004","red",6.3,0.57,0.28,2.1,0.048,13,49,0.99374,3.41,0.6,12.8,5,"bad",1
"6005","red",8.2,0.23,0.42,1.9,0.069,9,17,0.99376,3.21,0.54,12.3,6,"good",1
"6006","red",9.1,0.3,0.41,2,0.068,10,24,0.99523,3.27,0.85,11.7,7,"good",1
"6007","red",8.1,0.78,0.1,3.3,0.09,4,13,0.99855,3.36,0.49,9.5,5,"bad",1
"6008","red",10.8,0.47,0.43,2.1,0.171,27,66,0.9982,3.17,0.76,10.8,6,"good",1
"6009","red",8.3,0.53,0,1.4,0.07,6,14,0.99593,3.25,0.64,10,6,"good",1
"6010","red",5.4,0.42,0.27,2,0.092,23,55,0.99471,3.78,0.64,12.3,7,"good",1
"6011","red",7.9,0.33,0.41,1.5,0.056,6,35,0.99396,3.29,0.71,11,6,"good",1
"6012","red",8.9,0.24,0.39,1.6,0.074,3,10,0.99698,3.12,0.59,9.5,6,"good",1
"6013","red",5,0.4,0.5,4.3,0.046,29,80,0.9902,3.49,0.66,13.6,6,"good",1
"6015","red",7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,6,"good",1
"6018","red",5.6,0.66,0,2.5,0.066,7,15,0.99256,3.52,0.58,12.9,5,"bad",1
"6020","red",6.6,0.5,0,1.8,0.062,21,28,0.99352,3.44,0.55,12.3,6,"good",1
"6021","red",6.3,0.47,0,1.4,0.055,27,33,0.9922,3.45,0.48,12.3,6,"good",1
"6023","red",6.5,0.58,0,2.2,0.096,3,13,0.99557,3.62,0.62,11.5,4,"bad",1
"6024","red",8.8,0.24,0.35,1.7,0.055,13,27,0.99394,3.14,0.59,11.3,7,"good",1
"6027","red",10,0.43,0.33,2.7,0.095,28,89,0.9984,3.22,0.68,10,5,"bad",1
"6028","red",10.5,0.43,0.35,3.3,0.092,24,70,0.99798,3.21,0.69,10.5,6,"good",1
"6029","red",9.1,0.6,0,1.9,0.058,5,10,0.9977,3.18,0.63,10.4,6,"good",1
"6030","red",5.9,0.19,0.21,1.7,0.045,57,135,0.99341,3.32,0.44,9.5,5,"bad",1
"6031","red",7.4,0.36,0.34,1.8,0.075,18,38,0.9933,3.38,0.88,13.6,7,"good",1
"6032","red",7.2,0.48,0.07,5.5,0.089,10,18,0.99684,3.37,0.68,11.2,7,"good",1
"6033","red",8.5,0.28,0.35,1.7,0.061,6,15,0.99524,3.3,0.74,11.8,7,"good",1
"6034","red",8,0.25,0.43,1.7,0.067,22,50,0.9946,3.38,0.6,11.9,6,"good",1
"6035","red",10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,6,"good",1
"6037","red",7.5,0.41,0.15,3.7,0.104,29,94,0.99786,3.14,0.58,9.1,5,"bad",1
"6038","red",8.2,0.51,0.24,2,0.079,16,86,0.99764,3.34,0.64,9.5,6,"good",1
"6039","red",7.3,0.4,0.3,1.7,0.08,33,79,0.9969,3.41,0.65,9.5,6,"good",1
"6040","red",8.2,0.38,0.32,2.5,0.08,24,71,0.99624,3.27,0.85,11,6,"good",1
"6041","red",6.9,0.45,0.11,2.4,0.043,6,12,0.99354,3.3,0.65,11.4,6,"good",1
"6043","red",7.3,0.32,0.23,2.3,0.066,35,70,0.99588,3.43,0.62,10.1,5,"bad",1
"6044","red",8.2,0.2,0.43,2.5,0.076,31,51,0.99672,3.53,0.81,10.4,6,"good",1
"6045","red",7.8,0.5,0.12,1.8,0.178,6,21,0.996,3.28,0.87,9.8,6,"good",1
"6046","red",10,0.41,0.45,6.2,0.071,6,14,0.99702,3.21,0.49,11.8,7,"good",1
"6050","red",6.1,0.58,0.23,2.5,0.044,16,70,0.99352,3.46,0.65,12.5,6,"good",1
"6051","red",8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,5,"bad",1
"6052","red",9.6,0.42,0.35,2.1,0.083,17,38,0.99622,3.23,0.66,11.1,6,"good",1
"6053","red",6.6,0.58,0,2.2,0.1,50,63,0.99544,3.59,0.68,11.4,6,"good",1
"6054","red",8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,5,"bad",1
"6055","red",8.5,0.18,0.51,1.75,0.071,45,88,0.99524,3.33,0.76,11.8,7,"good",1
"6056","red",5.1,0.51,0.18,2.1,0.042,16,101,0.9924,3.46,0.87,12.9,7,"good",1
"6057","red",6.7,0.41,0.43,2.8,0.076,22,54,0.99572,3.42,1.16,10.6,6,"good",1
"6059","red",10.6,0.36,0.57,2.3,0.087,6,20,0.99676,3.14,0.72,11.1,7,"good",1
"6060","red",8.8,0.45,0.43,1.4,0.076,12,21,0.99551,3.21,0.75,10.2,6,"good",1
"6061","red",8.5,0.32,0.42,2.3,0.075,12,19,0.99434,3.14,0.71,11.8,7,"good",1
"6062","red",9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,5,"bad",1
"6063","red",9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,5,"bad",1
"6065","red",9.9,0.54,0.26,2,0.111,7,60,0.99709,2.94,0.98,10.2,5,"bad",1
"6066","red",8.2,0.33,0.39,2.5,0.074,29,48,0.99528,3.32,0.88,12.4,7,"good",1
"6067","red",6.5,0.34,0.27,2.8,0.067,8,44,0.99384,3.21,0.56,12,6,"good",1
"6068","red",7.6,0.5,0.29,2.3,0.086,5,14,0.99502,3.32,0.62,11.5,6,"good",1
"6069","red",9.2,0.36,0.34,1.6,0.062,5,12,0.99667,3.2,0.67,10.5,6,"good",1
"6070","red",7.1,0.59,0,2.2,0.078,26,44,0.99522,3.42,0.68,10.8,6,"good",1
"6071","red",9.7,0.42,0.46,2.1,0.074,5,16,0.99649,3.27,0.74,12.3,6,"good",1
"6073","red",7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,6,"good",1
"6074","red",6.5,0.61,0,2.2,0.095,48,59,0.99541,3.61,0.7,11.5,6,"good",1
"6075","red",6.5,0.88,0.03,5.6,0.079,23,47,0.99572,3.58,0.5,11.2,4,"bad",1
"6076","red",7.1,0.66,0,2.4,0.052,6,11,0.99318,3.35,0.66,12.7,7,"good",1
"6077","red",5.6,0.915,0,2.1,0.041,17,78,0.99346,3.68,0.73,11.4,5,"bad",1
"6078","red",8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,6,"good",1
"6079","red",8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,6,"good",1
"6080","red",9.8,0.39,0.43,1.65,0.068,5,11,0.99478,3.19,0.46,11.4,5,"bad",1
"6081","red",10.2,0.4,0.4,2.5,0.068,41,54,0.99754,3.38,0.86,10.5,6,"good",1
"6082","red",6.8,0.66,0.07,1.6,0.07,16,61,0.99572,3.29,0.6,9.3,5,"bad",1
"6084","red",7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9,6,"good",1
"6085","red",6.6,0.8,0.03,7.8,0.079,6,12,0.9963,3.52,0.5,12.2,5,"bad",1
"6087","red",6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,5,"bad",1
"6089","red",9.1,0.4,0.57,4.6,0.08,6,20,0.99652,3.28,0.57,12.5,6,"good",1
"6090","red",6.5,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,5,"bad",1
"6092","red",6.4,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,5,"bad",1
"6093","red",7,0.745,0.12,1.8,0.114,15,64,0.99588,3.22,0.59,9.5,6,"good",1
"6094","red",6.2,0.43,0.22,1.8,0.078,21,56,0.99633,3.52,0.6,9.5,6,"good",1
"6095","red",7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,6,"good",1
"6096","red",7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,6,"good",1
"6097","red",7.7,0.26,0.26,2,0.052,19,77,0.9951,3.15,0.79,10.9,6,"good",1
"6098","red",7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,6,"good",1
"6099","red",7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,6,"good",1
"6100","red",7.9,0.34,0.36,1.9,0.065,5,10,0.99419,3.27,0.54,11.2,7,"good",1
"6101","red",8.6,0.42,0.39,1.8,0.068,6,12,0.99516,3.35,0.69,11.7,8,"good",1
"6102","red",9.9,0.74,0.19,5.8,0.111,33,76,0.99878,3.14,0.55,9.4,5,"bad",1
"6103","red",7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7,"good",1
"6106","red",9.9,0.72,0.55,1.7,0.136,24,52,0.99752,3.35,0.94,10,5,"bad",1
"6107","red",7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7,"good",1
"6108","red",6.2,0.39,0.43,2,0.071,14,24,0.99428,3.45,0.87,11.2,7,"good",1
"6109","red",6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,6,"good",1
"6110","red",6.6,0.44,0.15,2.1,0.076,22,53,0.9957,3.32,0.62,9.3,5,"bad",1
"6111","red",6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,6,"good",1
"6112","red",9.6,0.38,0.42,1.9,0.071,5,13,0.99659,3.15,0.75,10.5,6,"good",1
"6115","red",7.9,0.57,0.31,2,0.079,10,79,0.99677,3.29,0.69,9.5,6,"good",1
"6116","red",8.2,0.34,0.37,1.9,0.057,43,74,0.99408,3.23,0.81,12,6,"good",1
"6117","red",8.2,0.4,0.31,1.9,0.082,8,24,0.996,3.24,0.69,10.6,6,"good",1
"6118","red",9,0.39,0.4,1.3,0.044,25,50,0.99478,3.2,0.83,10.9,6,"good",1
"6119","red",10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5,6,"good",1
"6121","red",8.1,0.53,0.22,2.2,0.078,33,89,0.99678,3.26,0.46,9.6,6,"good",1
"6122","red",10.5,0.36,0.47,2.2,0.074,9,23,0.99638,3.23,0.76,12,6,"good",1
"6124","red",9.2,0.46,0.23,2.6,0.091,18,77,0.99922,3.15,0.51,9.4,5,"bad",1
"6125","red",7.5,0.58,0.03,4.1,0.08,27,46,0.99592,3.02,0.47,9.2,5,"bad",1
"6126","red",9,0.58,0.25,2,0.104,8,21,0.99769,3.27,0.72,9.6,5,"bad",1
"6127","red",5.1,0.42,0,1.8,0.044,18,88,0.99157,3.68,0.73,13.6,7,"good",1
"6129","red",7.7,0.18,0.34,2.7,0.066,15,58,0.9947,3.37,0.78,11.8,6,"good",1
"6130","red",7.8,0.815,0.01,2.6,0.074,48,90,0.99621,3.38,0.62,10.8,5,"bad",1
"6131","red",7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,5,"bad",1
"6132","red",10.2,0.23,0.37,2.2,0.057,14,36,0.99614,3.23,0.49,9.3,4,"bad",1
"6133","red",7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,6,"good",1
"6134","red",6,0.33,0.32,12.9,0.054,6,113,0.99572,3.3,0.56,11.5,4,"bad",1
"6135","red",7.8,0.55,0,1.7,0.07,7,17,0.99659,3.26,0.64,9.4,6,"good",1
"6136","red",7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,6,"good",1
"6138","red",6.5,0.67,0,4.3,0.057,11,20,0.99488,3.45,0.56,11.8,4,"bad",1
"6139","red",7.5,0.61,0.2,1.7,0.076,36,60,0.99494,3.1,0.4,9.3,5,"bad",1
"6140","red",9.8,0.37,0.39,2.5,0.079,28,65,0.99729,3.16,0.59,9.8,5,"bad",1
"6142","red",8.3,0.56,0.22,2.4,0.082,10,86,0.9983,3.37,0.62,9.5,5,"bad",1
"6145","red",7.4,0.74,0.07,1.7,0.086,15,48,0.99502,3.12,0.48,10,5,"bad",1
"6147","red",6.9,0.41,0.33,2.2,0.081,22,36,0.9949,3.41,0.75,11.1,6,"good",1
"6149","red",7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,6,"good",1
"6151","red",7.1,0.72,0,1.8,0.123,6,14,0.99627,3.45,0.58,9.8,5,"bad",1
"6153","red",7.8,0.7,0.06,1.9,0.079,20,35,0.99628,3.4,0.69,10.9,5,"bad",1
"6154","red",6.1,0.64,0.02,2.4,0.069,26,46,0.99358,3.47,0.45,11,5,"bad",1
"6155","red",7.5,0.59,0.22,1.8,0.082,43,60,0.99499,3.1,0.42,9.2,5,"bad",1
"6156","red",7,0.58,0.28,4.8,0.085,12,69,0.99633,3.32,0.7,11,6,"good",1
"6157","red",6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6,"good",1
"6158","red",6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6,"good",1
"6159","red",8.6,0.635,0.68,1.8,0.403,19,56,0.99632,3.02,1.15,9.3,5,"bad",1
"6161","red",9.8,0.45,0.38,2.5,0.081,34,66,0.99726,3.15,0.58,9.8,5,"bad",1
"6162","red",8.2,0.78,0,2.2,0.089,13,26,0.9978,3.37,0.46,9.6,4,"bad",1
"6163","red",8.5,0.37,0.32,1.8,0.066,26,51,0.99456,3.38,0.72,11.8,6,"good",1
"6165","red",7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3,6,"good",1
"6167","red",6.9,0.41,0.31,2,0.079,21,51,0.99668,3.47,0.55,9.5,6,"good",1
"6168","red",5.5,0.49,0.03,1.8,0.044,28,87,0.9908,3.5,0.82,14,8,"good",1
"6170","red",7.3,0.44,0.2,1.6,0.049,24,64,0.9935,3.38,0.57,11.7,6,"good",1
"6172","red",7.5,0.58,0.2,2,0.073,34,44,0.99494,3.1,0.43,9.3,5,"bad",1
"6173","red",7.8,0.58,0.13,2.1,0.102,17,36,0.9944,3.24,0.53,11.2,6,"good",1
"6174","red",8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,6,"good",1
"6176","red",7,0.69,0,1.9,0.114,3,10,0.99636,3.35,0.6,9.7,6,"good",1
"6178","red",9.8,0.3,0.39,1.7,0.062,3,9,0.9948,3.14,0.57,11.5,7,"good",1
"6179","red",7.1,0.46,0.2,1.9,0.077,28,54,0.9956,3.37,0.64,10.4,6,"good",1
"6180","red",7.1,0.46,0.2,1.9,0.077,28,54,0.9956,3.37,0.64,10.4,6,"good",1
"6181","red",7.9,0.765,0,2,0.084,9,22,0.99619,3.33,0.68,10.9,6,"good",1
"6183","red",7,0.42,0.19,2.3,0.071,18,36,0.99476,3.39,0.56,10.9,5,"bad",1
"6184","red",11.3,0.37,0.5,1.8,0.09,20,47,0.99734,3.15,0.57,10.5,5,"bad",1
"6186","red",8,0.6,0.08,2.6,0.056,3,7,0.99286,3.22,0.37,13,5,"bad",1
"6187","red",7,0.6,0.3,4.5,0.068,20,110,0.99914,3.3,1.17,10.2,5,"bad",1
"6188","red",7,0.6,0.3,4.5,0.068,20,110,0.99914,3.3,1.17,10.2,5,"bad",1
"6189","red",7.6,0.74,0,1.9,0.1,6,12,0.99521,3.36,0.59,11,5,"bad",1
"6191","red",5.9,0.395,0.13,2.4,0.056,14,28,0.99362,3.62,0.67,12.4,6,"good",1
"6192","red",7.5,0.755,0,1.9,0.084,6,12,0.99672,3.34,0.49,9.7,4,"bad",1
"6193","red",8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,6,"good",1
"6194","red",6.6,0.63,0,4.3,0.093,51,77.5,0.99558,3.2,0.45,9.5,5,"bad",1
"6195","red",6.6,0.63,0,4.3,0.093,51,77.5,0.99558,3.2,0.45,9.5,5,"bad",1
"6196","red",7.2,0.53,0.14,2.1,0.064,15,29,0.99323,3.35,0.61,12.1,6,"good",1
"6197","red",5.7,0.6,0,1.4,0.063,11,18,0.99191,3.45,0.56,12.2,6,"good",1
"6198","red",7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,3,"bad",1
"6201","red",9.1,0.37,0.32,2.1,0.064,4,15,0.99576,3.3,0.8,11.2,6,"good",1
"6202","red",8,0.28,0.44,1.8,0.081,28,68,0.99501,3.36,0.66,11.2,5,"bad",1
"6203","red",7.6,0.79,0.21,2.3,0.087,21,68,0.9955,3.12,0.44,9.2,5,"bad",1
"6204","red",7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8,5,"bad",1
"6205","red",9.7,0.69,0.32,2.5,0.088,22,91,0.9979,3.29,0.62,10.1,5,"bad",1
"6206","red",6.8,0.68,0.09,3.9,0.068,15,29,0.99524,3.41,0.52,11.1,4,"bad",1
"6207","red",9.7,0.69,0.32,2.5,0.088,22,91,0.9979,3.29,0.62,10.1,5,"bad",1
"6209","red",7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8,5,"bad",1
"6210","red",6.5,0.51,0.15,3,0.064,12,27,0.9929,3.33,0.59,12.8,6,"good",1
"6211","red",8,1.18,0.21,1.9,0.083,14,41,0.99532,3.34,0.47,10.5,5,"bad",1
"6213","red",7,0.36,0.21,2.4,0.086,24,69,0.99556,3.4,0.53,10.1,6,"good",1
"6215","red",5.4,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,6,"good",1
"6217","red",7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,6,"good",1
"6219","red",9.7,0.66,0.34,2.6,0.094,12,88,0.99796,3.26,0.66,10.1,5,"bad",1
"6220","red",5,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,6,"good",1
"6221","red",9.1,0.34,0.42,1.8,0.058,9,18,0.99392,3.18,0.55,11.4,5,"bad",1
"6222","red",9.1,0.36,0.39,1.8,0.06,21,55,0.99495,3.18,0.82,11,7,"good",1
"6223","red",6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6,"good",1
"6224","red",6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6,"good",1
"6225","red",6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6,"good",1
"6226","red",6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6,"good",1
"6227","red",6.5,0.52,0.11,1.8,0.073,13,38,0.9955,3.34,0.52,9.3,5,"bad",1
"6228","red",7.4,0.6,0.26,2.1,0.083,17,91,0.99616,3.29,0.56,9.8,6,"good",1
"6230","red",7.8,0.87,0.26,3.8,0.107,31,67,0.99668,3.26,0.46,9.2,5,"bad",1
"6231","red",8.4,0.39,0.1,1.7,0.075,6,25,0.99581,3.09,0.43,9.7,6,"good",1
"6232","red",9.1,0.775,0.22,2.2,0.079,12,48,0.9976,3.18,0.51,9.6,5,"bad",1
"6233","red",7.2,0.835,0,2,0.166,4,11,0.99608,3.39,0.52,10,5,"bad",1
